number,name,status
301,Package Index and Metadata for Distutils,Either “success” or “fail”.
299,Special __main__() function in modules,
298,The Locked Buffer Interface,
297,Support for System Upgrades,
294,Type Names in the types Module,
295,Interpretation of multiline string constants,
296,Adding a bytes Object Type,
291,Backward Compatibility for the Python 2 Standard Library,
293,Codec Error Handling Callbacks,
292,Simpler String Substitutions,
290,Code Migration and Modernization,
289,Generator Expressions,
288,Generators Attributes and Exceptions,
286,Enhanced Argument Tuples,
285,Adding a bool type,
287,reStructuredText Docstring Format,
283,Python 2.3 Release Schedule,
284,Integer for-loops,
282,A Logging System,
278,Universal Newline Support,
279,The enumerate() built-in function,
280,Optimizing access to globals,
281,Loop Counter Iteration with range and xrange,
277,Unicode file name support for Windows NT,
271,Prefixing sys.path by command line option,
273,Import Modules from Zip Archives,
272,API for Block Encryption Algorithms v1.0,
274,Dict Comprehensions,
275,Switching on Multiple Values,
270,uniq method for list objects,
268,Extended HTTP functionality and WebDAV,
276,Simple Iterator for ints,
267,Optimized Access to Module Namespaces,
269,Pgen Module for Python,
266,Optimizing Global Variable/Attribute Access,
265,Sorting Dictionaries by Value,
261,Support for “wide” Unicode characters,
262,A Database of Installed Python Packages,
260,Simplify xrange(),
264,Future statements in simulated shells,
263,Defining Python Source Code Encodings,
259,Omit printing newline after newline,
257,Docstring Conventions,
258,Docutils Design Specification,
256,Docstring Processing System Framework,
254,Making Classes Look More Like Types,
255,Simple Generators,
253,Subtyping Built-in Types,
251,Python 2.2 Release Schedule,
248,Python Database API Specification v1.0,
252,Making Types Look More Like Classes,
250,Using site-packages on Windows,
247,API for Cryptographic Hash Functions,
249,Python Database API Specification v2.0,
245,Python Interface Syntax,
246,Object Adaptation,
244,The,
243,Module Repository Upload Mechanism,
242,Numeric Kinds,
241,Metadata for Python Software Packages,
240,Adding a Rational Literal to Python,
239,Adding a Rational Type to Python,
237,Unifying Long Integers and Integers,
238,Changing the Division Operator,
235,Import on Case-Insensitive Platforms,
236,Back to the __future__,
234,Iterators,
233,Python Online Help,
231,__findattr__(),
230,Warning Framework,
228,Reworking Python’s Numeric Model,
232,Function Attributes,
229,Using Distutils to Build Python,
225,Elementwise/Objectwise Operators,
226,Python 2.1 Release Schedule,
224,Attribute Docstrings,
227,Statically Nested Scopes,
223,Change the Meaning of,
221,Import As,
222,Web Library Enhancements,
218,Adding a Built-In Set Object Type,
217,Display Hook for Interactive Use,
219,Stackless Python,
220,"Coroutines, Generators, Continuations",
216,Docstring Format,
214,Extended Print Statement,
212,Loop Counter Iteration,
213,Attribute Access Handlers,
215,String Interpolation,
210,Decoupling the Interpreter Loop,
211,Adding A New Outer Product Operator,
208,Reworking the Coercion Model,
209,Multi-dimensional Arrays,
207,Rich Comparisons,
9,Sample Plaintext PEP Template,
204,Range Literals,
206,Python Advanced Library,
203,Augmented Assignments,
205,Weak References,
7,Style Guide for C Code,
4,Deprecation of Standard Modules,
6,Bug Fix Releases,
3,Guidelines for Handling Bug Reports,
5,Guidelines for Language Evolution,
8,Style Guide for Python Code,
