number,name,status
369,Post import hooks,
368,Standard image protocol and class,
367,New Super,
365,Adding the pkg_resources module,
366,Main module explicit relative imports,
363,Syntax For Dynamic Attribute Access,
364,Transitioning to the Py3K Standard Library,
361,Python 2.6 and 3.0 Release Schedule,
362,Function Signature Object,
360,Externally Maintained Packages,
357,Allowing Any Object to be Used for Slicing,
355,Path - Object oriented filesystem paths,
354,Enumerations in Python,
356,Python 2.5 Release Schedule,
358,The “bytes” Object,
359,The “make” Statement,
349,Allow str() to return unicode strings,
351,The freeze protocol,
350,Codetags,
352,Required Superclass for Exceptions,
353,Using ssize_t as the index type,
347,Migrating the Python CVS to Subversion,
348,Exception Reorganization for Python 3.0,
345,Metadata for Python Software Packages 1.2,
344,Exception Chaining and Embedded Tracebacks,
346,User Defined (”,
338,Executing modules as scripts,
339,Design of the CPython Compiler,
340,Anonymous Block Statements,
342,Coroutines via Enhanced Generators,
343,The “with” Statement,
341,Unifying try-except and try-finally,
335,Overloadable Boolean Operators,
333,Python Web Server Gateway Interface v1.0,
334,Simple Coroutines via SuspendIteration,
336,Make None Callable,
337,Logging Usage in the Standard Library,
332,Byte vectors and String/Unicode Unification,
331,Locale-Independent Float/String Conversions,
329,Treating Builtins as Constants in the Standard Library,
328,Imports: Multi-Line and Absolute/Relative,
330,Python Bytecode Verification,
326,A Case for Top and Bottom Values,
322,Reverse Iteration,
323,Copyable Iterators,
324,subprocess - New process module,
325,Resource-Release Support for Generators,
327,Decimal Data Type,
320,Python 2.4 Release Schedule,
318,Decorators for Functions and Methods,
317,Eliminate Implicit Exception Instantiation,
321,Date/Time Parsing and Formatting,
319,Python Synchronize/Asynchronize Block,
315,Enhanced While Loop,
316,Programming by Contract for Python,
312,Simple Implicit Lambda,
313,Adding Roman Numeral Literals to Python,
314,Metadata for Python Software Packages 1.1,
306,How to Change Python’s Grammar,
307,Extensions to the pickle protocol,
308,Conditional Expressions,
309,Partial Function Application,
310,Reliable Acquisition/Release Pairs,
311,Simplified Global Interpreter Lock Acquisition for Extensions,
303,Extend divmod() for Multiple Divisors,
301,Package Index and Metadata for Distutils,Either “success” or “fail”.
304,Controlling Generation of Bytecode Files,
305,CSV File API,
302,New Import Hooks,
299,Special __main__() function in modules,
298,The Locked Buffer Interface,
297,Support for System Upgrades,
295,Interpretation of multiline string constants,
296,Adding a bytes Object Type,
290,Code Migration and Modernization,
292,Simpler String Substitutions,
291,Backward Compatibility for the Python 2 Standard Library,
293,Codec Error Handling Callbacks,
294,Type Names in the types Module,
289,Generator Expressions,
284,Integer for-loops,
285,Adding a bool type,
286,Enhanced Argument Tuples,
287,reStructuredText Docstring Format,
288,Generators Attributes and Exceptions,
282,A Logging System,
283,Python 2.3 Release Schedule,
279,The enumerate() built-in function,
280,Optimizing access to globals,
281,Loop Counter Iteration with range and xrange,
274,Dict Comprehensions,
273,Import Modules from Zip Archives,
275,Switching on Multiple Values,
276,Simple Iterator for ints,
277,Unicode file name support for Windows NT,
278,Universal Newline Support,
270,uniq method for list objects,
268,Extended HTTP functionality and WebDAV,
269,Pgen Module for Python,
271,Prefixing sys.path by command line option,
272,API for Block Encryption Algorithms v1.0,
266,Optimizing Global Variable/Attribute Access,
267,Optimized Access to Module Namespaces,
264,Future statements in simulated shells,
265,Sorting Dictionaries by Value,
263,Defining Python Source Code Encodings,
262,A Database of Installed Python Packages,
258,Docutils Design Specification,
257,Docstring Conventions,
259,Omit printing newline after newline,
260,Simplify xrange(),
261,Support for “wide” Unicode characters,
255,Simple Generators,
256,Docstring Processing System Framework,
254,Making Classes Look More Like Types,
253,Subtyping Built-in Types,
252,Making Types Look More Like Classes,
250,Using site-packages on Windows,
251,Python 2.2 Release Schedule,
247,API for Cryptographic Hash Functions,
248,Python Database API Specification v1.0,
249,Python Database API Specification v2.0,
246,Object Adaptation,
244,The,
245,Python Interface Syntax,
241,Metadata for Python Software Packages,
242,Numeric Kinds,
243,Module Repository Upload Mechanism,
240,Adding a Rational Literal to Python,
239,Adding a Rational Type to Python,
238,Changing the Division Operator,
237,Unifying Long Integers and Integers,
236,Back to the __future__,
235,Import on Case-Insensitive Platforms,
234,Iterators,
232,Function Attributes,
233,Python Online Help,
231,__findattr__(),
230,Warning Framework,
226,Python 2.1 Release Schedule,
229,Using Distutils to Build Python,
228,Reworking Python’s Numeric Model,
227,Statically Nested Scopes,
224,Attribute Docstrings,
225,Elementwise/Objectwise Operators,
222,Web Library Enhancements,
223,Change the Meaning of,
221,Import As,
220,"Coroutines, Generators, Continuations",
219,Stackless Python,
218,Adding a Built-In Set Object Type,
217,Display Hook for Interactive Use,
216,Docstring Format,
214,Extended Print Statement,
215,String Interpolation,
213,Attribute Access Handlers,
210,Decoupling the Interpreter Loop,
211,Adding A New Outer Product Operator,
212,Loop Counter Iteration,
209,Multi-dimensional Arrays,
208,Reworking the Coercion Model,
206,Python Advanced Library,
205,Weak References,
207,Rich Comparisons,
204,Range Literals,
203,Augmented Assignments,
8,Style Guide for Python Code,
202,List Comprehensions,
6,Bug Fix Releases,
7,Style Guide for C Code,
5,Guidelines for Language Evolution,
4,Deprecation of Standard Modules,
3,Guidelines for Handling Bug Reports,
